id,document_id,user_id,"created_at","updated_at"
437,437,79,"2017-07-06 14:52:54","2017-07-06 14:52:54"
438,438,88,"2017-07-06 17:55:43","2017-07-06 17:55:43"
439,439,79,"2017-07-07 19:08:29","2017-07-07 19:08:29"
440,440,79,"2017-07-07 19:24:24","2017-07-07 19:24:24"
441,441,3,"2017-07-07 19:45:02","2017-07-07 19:45:02"
442,442,3,"2017-07-07 20:05:04","2017-07-07 20:05:04"
443,443,9,"2017-07-07 20:12:43","2017-07-07 20:12:43"
444,444,160,"2017-07-07 21:09:10","2017-07-07 21:09:10"
445,445,9,"2017-07-10 16:32:22","2017-07-10 16:32:22"
446,446,136,"2017-07-10 19:44:36","2017-07-10 19:44:36"
447,447,160,"2017-07-10 20:44:40","2017-07-10 20:44:40"
448,448,4,"2017-07-11 02:01:55","2017-07-11 02:01:55"
449,449,109,"2017-07-11 13:27:27","2017-07-11 13:27:27"
450,450,4,"2017-07-11 13:55:41","2017-07-11 13:55:41"
451,451,3,"2017-07-11 14:13:59","2017-07-11 14:13:59"
452,452,4,"2017-07-11 14:54:33","2017-07-11 14:54:33"
453,453,160,"2017-07-11 15:05:35","2017-07-11 15:05:35"
454,454,4,"2017-07-11 15:13:03","2017-07-11 15:13:03"
455,455,160,"2017-07-11 15:27:04","2017-07-11 15:27:04"
456,456,4,"2017-07-11 15:37:48","2017-07-11 15:37:48"
457,457,4,"2017-07-11 15:56:08","2017-07-11 15:56:08"
458,458,4,"2017-07-11 16:54:10","2017-07-11 16:54:10"
459,459,4,"2017-07-11 17:13:29","2017-07-11 17:13:29"
460,460,4,"2017-07-11 18:02:14","2017-07-11 18:02:14"
461,461,4,"2017-07-11 18:08:50","2017-07-11 18:08:50"
462,462,4,"2017-07-11 18:43:19","2017-07-11 18:43:19"
463,463,4,"2017-07-11 20:09:03","2017-07-11 20:09:03"
464,464,164,"2017-07-11 22:45:54","2017-07-11 22:45:54"
465,465,2,"2017-07-12 02:40:36","2017-07-12 02:40:36"
466,466,2,"2017-07-12 03:22:42","2017-07-12 03:22:42"
467,467,9,"2017-07-12 15:18:16","2017-07-12 15:18:16"
468,468,9,"2017-07-12 15:47:48","2017-07-12 15:47:48"
469,469,9,"2017-07-12 15:51:16","2017-07-12 15:51:16"
470,470,9,"2017-07-12 16:06:35","2017-07-12 16:06:35"
471,471,4,"2017-07-12 16:24:34","2017-07-12 16:24:34"
472,472,1,"2017-07-12 16:28:51","2017-07-12 16:28:51"
473,473,162,"2017-07-12 16:34:17","2017-07-12 16:34:17"
474,474,9,"2017-07-12 16:35:47","2017-07-12 16:35:47"
475,475,162,"2017-07-12 17:00:42","2017-07-12 17:00:42"
476,476,162,"2017-07-12 17:21:24","2017-07-12 17:21:24"
477,477,2,"2017-07-12 17:47:19","2017-07-12 17:47:19"
478,478,2,"2017-07-12 18:13:40","2017-07-12 18:13:40"
479,479,2,"2017-07-12 18:15:21","2017-07-12 18:15:21"
480,480,162,"2017-07-12 19:45:05","2017-07-12 19:45:05"
